EQUIPMENT_NUMBER,ORDER_TYPE,DESIR,MRMIN,MRMAX,MRNGU,CJUMP,PYEAR,INDCT,READG,MEASUREMENT_DATE,Previous Order Date,MEASUREMENT_YEAR,MEASUREMENT_MONTH
0,3,0.0,0.0,0.0,0,0.0,0.0,1,100.9,5,-90,1999,5
0,3,0.0,0.0,0.0,0,0.0,0.0,1,-0.9,13,-190,1999,8
0,3,0.0,0.0,0.0,0,0.0,0.0,1,100.6,13,-190,1999,8
0,3,0.0,0.0,0.0,0,0.0,0.0,1,-0.299999999999999,12,-281,1999,11
0,3,0.0,0.0,0.0,0,0.0,0.0,1,101.2,12,-281,1999,11
0,3,0.0,0.0,0.0,0,0.0,0.0,1,-1.0,15,-376,2000,2
0,3,0.0,0.0,0.0,0,0.0,0.0,1,99.1,15,-376,2000,2
0,3,0.0,0.0,0.0,0,0.0,0.0,1,0.9,18,-379,2000,2
0,3,0.0,0.0,0.0,0,0.0,0.0,1,101.0,18,-379,2000,2
0,3,0.0,0.0,0.0,0,0.0,0.0,1,100.0,29,-390,2000,2
0,3,0.0,0.0,0.0,0,0.0,0.0,1,0.299999999999999,29,-419,2000,3
0,3,0.0,0.0,0.0,0,0.0,0.0,1,99.7999999999999,29,-419,2000,3
0,3,0.0,0.0,0.0,0,0.0,0.0,1,1.1,3,-454,2000,5
0,3,0.0,0.0,0.0,0,0.0,0.0,1,100.0,3,-454,2000,5
0,3,0.0,0.0,0.0,0,0.0,0.0,1,100.0,6,-488,2000,6
0,3,0.0,0.0,0.0,0,0.0,0.0,1,-1.1,6,-518,2000,7
0,3,0.0,0.0,0.0,0,0.0,0.0,1,100.0,6,-518,2000,7
0,3,0.0,0.0,0.0,0,0.0,0.0,1,1.2,4,-547,2000,8
0,3,0.0,0.0,0.0,0,0.0,0.0,1,99.2,4,-547,2000,8
0,3,0.0,0.0,0.0,0,0.0,0.0,1,100.1,19,-593,2000,9
0,3,0.0,0.0,0.0,0,0.0,0.0,1,1.0,23,-627,2000,10
0,3,0.0,0.0,0.0,0,0.0,0.0,1,100.1,23,-627,2000,10
0,3,0.0,0.0,0.0,0,0.0,0.0,1,-1.0,24,-659,2000,11
0,3,0.0,0.0,0.0,0,0.0,0.0,1,99.0,24,-659,2000,11
0,3,0.0,0.0,0.0,0,0.0,0.0,1,100.1,29,-694,2000,12
0,3,0.0,0.0,0.0,0,0.0,0.0,1,0.1,26,-722,2001,1
0,3,0.0,0.0,0.0,0,0.0,0.0,1,99.9,26,-722,2001,1
0,3,0.0,0.0,0.0,0,0.0,0.0,1,0.1,23,-778,2001,3
0,3,0.0,0.0,0.0,0,0.0,0.0,1,100.9,23,-778,2001,3
0,3,0.0,0.0,0.0,0,0.0,0.0,1,100.0,23,-778,2001,3
0,3,0.0,0.0,0.0,0,0.0,0.0,1,1.0,23,-809,2001,4
0,3,0.0,0.0,0.0,0,0.0,0.0,1,100.0,23,-809,2001,4
0,3,0.0,0.0,0.0,0,0.0,0.0,1,-1.0,22,-838,2001,5
0,3,0.0,0.0,0.0,0,0.0,0.0,1,99.0,22,-838,2001,5
0,3,0.0,0.0,0.0,0,0.0,0.0,1,101.5,22,-869,2001,6
0,3,0.0,0.0,0.0,0,0.0,0.0,1,1.0,23,-900,2001,7
0,3,0.0,0.0,0.0,0,0.0,0.0,1,99.0,23,-900,2001,7
0,3,0.0,0.0,0.0,0,0.0,0.0,1,0.1,12,-951,2001,9
0,3,0.0,0.0,0.0,0,0.0,0.0,1,100.9,12,-951,2001,9
0,3,0.0,0.0,0.0,0,0.0,0.0,1,1.0,12,-1012,2001,11
0,3,0.0,0.0,0.0,0,0.0,0.0,1,101.0,12,-1012,2001,11
0,3,0.0,0.0,0.0,0,0.0,0.0,1,100.0,12,-1012,2001,11
0,3,0.0,0.0,0.0,0,0.0,0.0,1,0.0,14,-1044,2001,12
0,3,0.0,0.0,0.0,0,0.0,0.0,1,100.7,14,-1044,2001,12
0,3,0.0,0.0,0.0,0,0.0,0.0,1,100.0,14,-1075,2002,1
0,3,0.0,0.0,0.0,0,0.0,0.0,1,0.1,19,-1111,2002,2
0,3,0.0,0.0,0.0,0,0.0,0.0,1,99.1,19,-1111,2002,2
0,3,0.0,0.0,0.0,0,0.0,0.0,1,0.9,19,-1139,2002,3
0,3,0.0,0.0,0.0,0,0.0,0.0,1,99.0,19,-1139,2002,3
0,3,0.0,0.0,0.0,0,0.0,0.0,1,100.0,26,-1177,2002,4
0,3,0.0,0.0,0.0,0,0.0,0.0,1,1.0,12,-1224,2002,6
